Label (Grouping),United States!!Total!!Estimate %,United States!!Total!!Margin of Error,United States!!Foreign born; Entered 2010 or later!!Estimate %,United States!!Foreign born; Entered 2010 or later!!Margin of Error,United States!!Foreign born; Entered 2000 to 2009!!Estimate %,United States!!Foreign born; Entered 2000 to 2009!!Margin of Error,United States!!Foreign born; Entered before 2000!!Estimate %,United States!!Foreign born; Entered before 2000!!Margin of Error
Foreign-born population,44932901,177477,11142149,110983,11035400,98039,22755352,78758
Under 5 years,0.7,0.1,2.7,0.1,,,,
5 to 17 years,5,0.1,15.4,0.3,4.8,0.1,0,0.1
18 to 24 years,6.3,0.1,13.4,0.2,9.7,0.2,1.2,0.1
25 to 44 years,36.5,0.1,48.5,0.4,52.9,0.3,22.7,0.2
45 to 54 years,19.6,0.1,9.8,0.2,18.3,0.2,24.9,0.1
55 to 64 years,15.2,0.1,5.3,0.1,8.5,0.2,23.3,0.1
65 to 74 years,9.7,0.1,3.2,0.1,3.7,0.1,15.8,0.1
75 to 84 years,5,0.1,1.3,0.1,1.7,0.1,8.5,0.1
85 years and over,2,0.1,0.3,0.1,0.5,0.1,3.5,0.1
        Median age (years),45.7,0.1,31.3,0.2,39.1,0.2,55.4,0.1