REGION,,,,,,,,,,
Total,"694,193","757,434","779,929","653,416","730,259","753,060","707,265","761,901","843,593","628,254"
Africa,"69,738","74,775","71,872","62,175","71,492","72,338","61,851","64,934","84,990","66,436"
Asia,"249,940","257,035","275,700","233,163","261,374","271,733","255,306","275,621","327,273","246,099"
Europe,"82,209","82,714","80,333","71,325","78,074","74,344","65,141","71,436","81,040","57,403"
North America,"217,750","261,673","271,807","222,547","247,492","259,845","258,371","277,592","276,910","204,250"
Oceania,"3,734","3,886","3,849","3,399","3,811","3,953","3,327","3,792","4,308","3,392"
South America,"70,485","76,992","76,167","60,665","67,927","70,821","63,063","67,892","68,678","50,441"
Unknown,337,359,201,142,89,26,206,634,394,233
COUNTRY,,,,,,,,,,
Total,"694,193","757,434","779,929","653,416","730,259","753,060","707,265","761,901","843,593","628,254"
Afghanistan,"1,998","1,758","2,074","1,853","1,589","1,444","1,414","1,569","2,794","4,025"
Albania,"4,267","3,615","3,538","3,131","3,237","2,813","2,169","2,203","2,778","2,308"
Algeria,773,891,841,928,943,"1,035",949,918,"1,235","1,063"
American Samoa,205,180,265,187,296,285,216,182,279,177
Angola,162,166,143,145,132,131,125,147,136,94
Anguilla,38,30,26,18,31,16,20,34,25,19
Antigua and Barbuda,386,390,366,358,381,383,311,356,386,265
Argentina,"3,870","3,909","4,177","3,683","3,886","4,015","3,486","3,977","3,956","2,884"
Armenia,"3,965","3,285","3,203","2,488","2,874","2,516","1,994","2,085","2,327","1,852"
Aruba,40,27,42,28,37,28,32,33,54,37
Australia,"1,291","1,312","1,296","1,159","1,379","1,389","1,235","1,545","1,838","1,436"
Austria,271,241,248,223,207,221,177,238,214,160
Azerbaijan,"1,153",958,786,585,568,574,483,512,597,451
Bahamas,609,647,681,545,570,590,481,590,640,481
Bahrain,80,93,76,90,79,80,77,86,116,79
Bangladesh,"7,325","8,417","9,571","7,475","9,750","9,949","8,629","7,797","9,067","6,883"
Barbados,648,687,683,550,646,651,645,555,625,399
Belarus,"1,814","1,896","1,797","1,437","1,710","1,518","1,313","1,393","1,730","1,302"
Belgium,525,522,513,408,505,514,493,520,575,430
Belize,742,817,966,773,851,870,810,859,950,669
Benin,183,210,206,229,310,317,309,249,343,297
Bermuda,58,65,59,67,66,61,65,70,64,52
Bhutan,55,42,275,"2,639","4,562","5,563","5,557","6,180","6,920","4,536"
Bolivia,"1,446","2,063","1,961","1,527","1,689","1,862","1,806","1,575","1,679","1,208"
Bosnia and Herzegovina,"4,259","4,904","3,662","2,509","3,304","2,257","1,780","1,805","1,709","1,059"
Botswana,9,11,29,24,28,29,27,38,41,34
Brazil,"10,251","9,884","9,565","8,625","10,516","10,268","9,701","10,538","10,451","8,323"
Brunei,11,17,11,15,13,10,11,15,26,19
Bulgaria,"3,103","2,964","2,646","2,226","2,336","2,086","1,887","1,825","2,251","1,656"
Burkina Faso,163,166,230,235,307,322,303,347,426,376
Burma,"2,321","2,384","3,489","4,225","6,045","6,956","6,825","7,858","11,674","9,181"
Burundi,168,209,379,415,437,406,266,284,394,280
Cabo Verde,974,"1,037","1,014",979,"1,054","1,207","1,355","1,429","1,316",930
Cambodia,"4,589","6,189","4,161","2,866","2,878","2,756","2,184","2,467","2,877","2,405"
Cameroon,"2,172","2,459","2,541","2,120","3,170","3,088","2,416","2,319","3,197","2,873"
Canada,"9,318","9,077","8,690","8,385","9,492","9,346","7,829","9,379","11,059","8,423"
Cayman Islands,15,29,17,13,30,20,23,23,35,20
Central African Republic,34,56,54,44,52,80,61,73,120,82
Chad,50,69,64,74,84,105,78,72,90,56
Chile,"1,527","1,586","1,649","1,435","1,486","1,666","1,620","1,752","1,784","1,329"
"China, People's Republic","32,864","31,868","35,387","30,284","31,241","35,794","37,674","39,600","39,490","26,110"
Colombia,"22,693","23,972","22,196","16,478","17,207","18,601","16,184","17,564","17,126","12,768"
"Congo, Democratic Republic",908,"1,173","1,250","1,246","1,490","1,707","1,437","1,776","2,877","2,482"
"Congo, Republic",345,381,402,438,473,395,322,316,351,191
Costa Rica,"1,511","1,597","1,661","1,461","1,633","1,862","1,720","1,860","1,859","1,394"
Cote d'Ivoire,694,868,958,910,"1,078","1,127",907,908,"1,206","1,012"
Croatia,569,725,561,428,563,438,351,371,412,271
Cuba,"21,071","31,244","30,482","24,092","25,770","32,101","25,961","32,089","36,246","31,369"
Curacao,-,-,-,11,17,13,16,20,30,28
Cyprus,115,92,112,112,107,105,84,125,115,81
Czechia,485,477,562,565,733,692,595,644,600,426
Czechoslovakia (former),310,291,232,303,371,344,251,260,325,206
Denmark,124,133,127,129,243,"1,193",769,650,656,508
Djibouti,22,26,39,26,26,52,48,65,96,94
Dominica,594,597,642,520,653,610,539,612,740,391
Dominican Republic,"20,508","33,351","39,590","23,775","26,665","31,320","29,734","22,970","23,101","18,675"
Ecuador,"6,929","8,783","9,470","6,952","7,664","8,568","7,748","7,996","7,731","5,204"
Egypt,"5,848","6,191","6,213","5,094","5,693","5,696","5,154","6,549","8,311","6,336"
El Salvador,"13,834","16,685","18,401","15,598","16,930","17,213","16,941","17,300","18,260","12,606"
Equatorial Guinea,9,19,14,12,14,18,8,9,15,18
Eritrea,985,"1,059","1,145","1,045","1,494","1,797","1,424","1,457","1,951","1,597"
Estonia,217,234,213,183,208,183,157,190,210,157
Eswatini,15,10,15,7,12,8,16,13,25,D
Ethiopia,"8,519","8,803","8,323","7,002","8,312","8,725","7,370","6,769","9,065","7,385"
Fiji,"1,118","1,134","1,003",770,850,996,841,875,778,624
Finland,344,329,300,274,301,303,279,283,343,250
France,"2,527","2,358","2,534","2,589","2,784","2,841","2,812","2,854","3,315","2,553"
French Polynesia,14,15,8,20,14,18,14,13,18,15
Gabon,53,80,72,63,89,83,67,81,113,87
Gambia,505,556,573,510,685,724,586,650,729,610
Georgia,"1,253","1,271","1,205",898,"1,027",988,889,751,973,709
Germany,"4,461","4,192","4,066","4,375","4,380","4,329","3,879","4,284","4,745","3,162"
Ghana,"4,690","5,344","5,105","5,108","6,033","6,411","5,777","6,047","6,936","4,973"
Greece,844,867,938,780,867,"1,013",945,"1,074","1,137",828
Grenada,528,683,717,544,664,658,629,463,640,478
Guatemala,"7,285","8,797","9,530","8,549","9,344","9,764","9,131","9,566","8,948","6,421"
Guinea,575,787,958,908,999,"1,077",957,924,"1,069",771
Guinea-Bissau,29,30,24,27,29,20,25,28,23,20
Guyana,"5,413","6,201","6,295","4,327","5,162","5,284","4,527","4,625","5,089","3,631"
Haiti,"14,191","19,114","23,480","13,676","14,053","15,276","12,794","14,389","14,308","10,865"
Honduras,"3,980","5,294","5,462","4,433","5,039","5,819","5,310","5,645","6,353","5,150"
Hong Kong,"2,184","1,980","2,093","1,801","1,716","1,662","1,623","1,768","1,924","1,545"
Hungary,953,"1,014",984,891,941,934,729,922,983,754
Iceland,76,97,75,70,88,88,83,69,101,69
India,"45,985","42,928","49,897","37,854","42,213","46,188","50,802","52,194","64,631","48,109"
Indonesia,"2,345","2,123","2,190","1,568","1,743","1,641","1,566","1,807","2,093","1,359"
Iran,"9,286","9,627","11,623","9,620","10,344","9,507","8,324","8,409","11,310","8,828"
Iraq,"3,360","3,523","7,771","12,377","14,899","12,130","7,875","12,448","18,366","12,321"
Ireland,"1,171","1,239","1,295","1,413","1,375","1,383","1,405","1,621","1,698","1,179"
Israel,"3,153","2,859","3,466","3,015","3,182","3,071","2,466","2,743","3,265","2,363"
Italy,"2,231","2,234","2,355","2,313","2,760","2,692","2,501","2,920","3,244","2,324"
Jamaica,"14,591","15,531","16,442","13,547","16,566","16,772","15,087","17,213","18,010","13,465"
Japan,"1,744","1,663","1,837","1,635","1,858","1,758","1,713","1,869","1,969","1,584"
Jordan,"2,345","2,436","2,816","2,427","2,461","2,552","2,239","2,630","3,430","2,607"
Kazakhstan,891,"1,040",909,789,819,760,729,823,"1,147",803
Kenya,"3,621","4,170","4,257","3,885","4,738","4,834","4,348","4,302","5,329","4,186"
"Korea, North",13,19,27,24,23,16,15,30,25,17
"Korea, South","12,664","13,790","15,786","13,587","14,230","14,347","14,643","16,031","16,298","11,350"
Kosovo,465,510,487,392,547,530,410,451,597,482
Kuwait,869,820,920,791,819,790,677,789,"1,111",840
Kyrgyzstan,440,420,395,305,418,408,412,483,534,411
Laos,"5,452","7,027","3,932","2,564","2,042","1,999","1,726","2,027","2,303","1,704"
Latvia,401,392,364,366,392,356,306,315,365,241
Lebanon,"3,127","2,914","3,002","2,528","2,463","2,284","2,081","2,339","2,683","1,715"
Lesotho,11,7,10,8,11,9,8,9,18,7
Liberia,"3,794","4,322","3,923","3,035","3,042","3,022","2,421","2,752","3,334","2,429"
Libya,180,195,206,228,193,210,207,308,447,309
Lithuania,973,938,933,744,752,626,584,699,885,529
Luxembourg,18,23,16,34,20,18,14,20,23,20
Macau,86,106,97,102,109,101,70,79,92,61
Madagascar,44,37,50,50,65,75,61,53,63,47
Malawi,86,85,83,76,91,95,84,114,120,91
Malaysia,"1,137","1,150","1,169","1,052","1,113","1,189","1,170","1,388","1,406",942
Mali,274,288,332,352,405,456,391,398,446,390
Malta,54,44,59,40,50,43,47,51,49,37
Marshall Islands,32,21,17,20,22,27,16,21,15,13
Mauritania,405,495,520,376,355,323,288,252,319,188
Mauritius,64,57,67,69,60,63,65,70,67,55
Mexico,"94,783","102,181","99,385","94,889","105,958","103,550","118,559","131,977","122,286","84,081"
"Micronesia, Federated States",74,73,96,62,85,67,53,34,39,26
Moldova,"1,398","1,602","1,594","1,279","1,681","1,689","1,442","1,680","2,010","1,494"
Mongolia,242,286,347,335,324,437,416,468,541,426
Montenegro,205,227,231,202,209,222,187,205,254,162
Montserrat,63,51,65,47,43,45,45,52,50,37
Morocco,"3,656","3,872","3,768","3,538","3,805","3,684","2,943","2,644","3,142","2,462"
Mozambique,49,48,51,34,43,51,38,43,63,32
Namibia,29,42,40,31,42,33,27,29,61,39
Nepal,"2,235","2,448","2,711","2,888","4,225","5,004","4,509","5,352","7,409","5,793"
Netherlands,778,919,786,665,778,829,699,851,953,667
Netherlands Antilles (former),60,76,82,43,35,45,42,48,56,48
New Zealand,480,563,482,453,514,565,468,577,668,577
Nicaragua,"5,092","5,870","5,064","3,775","3,951","4,663","4,181","4,277","4,346","3,474"
Niger,124,143,167,161,180,140,126,110,143,112
Nigeria,"9,344","9,322","9,545","8,667","10,363","9,520","7,652","8,459","11,360","8,929"
North Macedonia,578,635,665,625,611,704,582,669,800,577
Norway,90,87,80,92,80,93,60,93,111,270
Oman,37,48,39,41,47,58,30,44,68,66
Pakistan,"10,655","11,150","12,948","11,210","11,912","11,729","10,166","10,414","13,079","9,975"
Palau,68,72,64,50,44,43,32,28,32,23
Panama,"1,340","1,532","1,598","1,277","1,412","1,458","1,266","1,308","1,361",989
Papua New Guinea,17,16,20,7,21,19,13,17,19,20
Paraguay,289,338,331,256,338,396,343,401,387,278
Peru,"10,266","11,814","11,782","9,572","10,701","11,319","10,014","10,043","9,899","6,910"
Philippines,"42,520","44,958","43,489","34,591","40,815","41,285","36,828","38,816","43,668","33,417"
Poland,"8,844","8,715","8,697","8,304","7,886","7,198","5,840","6,370","6,973","4,653"
Portugal,"1,426","1,607","1,585","1,587","1,690","1,665","1,807","2,031","1,712","1,081"
Qatar,101,101,107,69,75,98,95,92,105,120
Romania,"4,314","4,253","4,050","3,267","3,478","3,379","2,986","3,104","3,627","2,320"
Russia,"8,257","8,154","8,222","6,824","6,552","6,067","5,534","6,225","7,628","5,360"
Rwanda,265,285,374,302,300,369,267,343,466,410
Saint Kitts and Nevis,306,319,315,270,360,345,317,281,335,211
Saint Lucia,600,724,856,635,775,791,697,604,758,574
Saint Vincent and the Grenadines,416,511,574,405,467,500,507,401,528,363
Samoa,172,178,206,181,213,192,164,168,239,159
Saudi Arabia,814,779,927,795,796,869,872,990,"1,313",998
Senegal,752,790,869,806,974,969,882,848,956,742
Serbia,85,109,117,276,522,532,476,596,829,569
Serbia and Montenegro (former),"2,185","2,012","1,830","1,338","1,297","1,164",820,805,820,494
Seychelles,19,8,15,9,7,17,5,11,D,13
Sierra Leone,"1,831","1,861","1,613","1,406","1,692","1,662","1,328","1,177","1,604","1,319"
Singapore,311,293,263,258,285,308,279,332,359,255
Sint Maarten,-,-,-,7,17,33,21,22,D,D
Slovakia,421,401,413,317,443,428,384,394,432,275
Slovenia,57,64,58,52,61,63,52,57,68,68
Somalia,"7,971","9,286","6,875","4,097","3,691","3,998","3,774","3,979","6,915","5,684"
South Africa,"2,566","2,294","2,283","2,083","2,538","2,197","1,901","2,262","2,967","2,084"
South Sudan,-,81,139,132,131,101,74,109,146,101
Soviet Union (former),"2,812","2,610","2,807","2,334","2,372","2,268","2,123","2,252","2,280","1,589"
Spain,"1,253","1,242","1,367","1,326","1,414","1,515","1,469","1,674","1,945","1,517"
Sri Lanka,"1,334","1,146","1,258","1,104","1,246","1,497","1,364","1,480","1,609","1,140"
Sudan,"2,444","2,291","1,924","1,482","1,740","1,776","1,348","1,611","2,527","1,753"
Suriname,194,189,160,127,183,164,143,176,170,91
Sweden,872,798,783,724,885,795,708,797,936,731
Switzerland,427,427,452,388,411,375,333,436,488,365
Syria,"1,981","1,814","2,196","1,832","2,004","2,043","1,789","2,475","3,364","2,455"
Taiwan,"5,065","4,573","5,255","4,326","4,420","4,043","4,151","4,576","4,821","3,422"
Tajikistan,155,142,168,146,156,212,222,261,364,251
Tanzania,516,543,647,525,553,639,547,561,731,530
Thailand,"5,299","6,585","5,544","4,805","5,213","5,211","4,672","5,324","6,678","5,572"
Togo,"1,523","1,448","1,380","1,141","1,171","1,099",907,893,"1,054",927
Tonga,251,306,371,473,352,337,262,319,354,300
Trinidad and Tobago,"5,014","5,596","5,784","4,147","4,869","4,867","4,504","4,378","4,592","3,027"
Tunisia,377,345,362,310,314,352,344,306,393,295
Turkey,"3,100","3,329","3,390","2,925","3,150","3,201","3,108","3,275","3,289","2,305"
Turkmenistan,146,136,160,110,153,102,109,117,203,122
Turks and Caicos Islands,36,49,47,26,33,31,26,40,28,28
Uganda,838,820,763,724,817,823,742,703,922,727
Ukraine,"8,489","9,459","8,624","6,984","8,926","8,374","6,644","6,990","8,019","5,444"
United Arab Emirates,425,431,499,435,443,473,475,542,730,545
United Kingdom,"9,246","9,145","9,459","8,906","10,095","9,562","9,049","10,530","12,195","8,842"
United States,45,60,55,31,75,95,84,122,174,163
Uruguay,751,849,933,812,902,"1,044","1,028","1,073","1,088",822
Uzbekistan,"2,463","3,071","2,482","1,725","1,660","1,685","1,498","1,532","1,950","1,482"
Venezuela,"6,856","7,404","7,648","6,871","8,192","7,633","6,463","8,172","9,317","6,993"
Vietnam,"20,922","23,490","24,277","18,837","21,976","24,848","19,323","21,082","25,646","22,705"
"Virgin Islands, British",48,41,45,49,59,46,42,54,59,45
Yemen,"1,320","1,452","1,355","1,160","1,284","1,490","1,445","1,544","2,509","2,158"
Zambia,337,338,352,318,370,404,401,402,501,340
Zimbabwe,715,691,658,734,852,843,675,709,810,559
All other countries1,45,40,41,41,41,42,38,42,63,50
Unknown,337,359,201,142,89,26,206,634,394,233
D Data withheld to limit disclosure.,,,,,,,,,,
#NAME?,,,,,,,,,,
1 Includes countries with fewer than 10 naturalizations per year.,,,,,,,,,,
Note: Based on N-400 data for persons aged 18 and over.,,,,,,,,,,
Source: U.S. Department of Homeland Security.,,,,,,,,,,
